serie,roll,tid,kategori,innehall,varde
hushall_bolan,kredit,2017-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2110246
hushall_bolan,kredit,2018-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2116422
hushall_bolan,kredit,2018-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2124847
hushall_bolan,kredit,2018-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2132316
hushall_bolan,kredit,2018-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2138315
hushall_bolan,kredit,2018-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2146679
hushall_bolan,kredit,2018-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2157165
hushall_bolan,kredit,2018-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2163585
hushall_bolan,kredit,2018-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2172022
hushall_bolan,kredit,2018-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2179862
hushall_bolan,kredit,2018-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2187524
hushall_bolan,kredit,2018-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2197387
hushall_bolan,kredit,2018-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2204731
hushall_bolan,kredit,2019-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2209195
hushall_bolan,kredit,2019-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2213793
hushall_bolan,kredit,2019-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2219377
hushall_bolan,kredit,2019-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2225293
hushall_bolan,kredit,2019-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2233794
hushall_bolan,kredit,2019-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2243104
hushall_bolan,kredit,2019-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2251023
hushall_bolan,kredit,2019-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2258911
hushall_bolan,kredit,2019-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2267105
hushall_bolan,kredit,2019-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2276645
hushall_bolan,kredit,2019-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2285714
hushall_bolan,kredit,2019-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2294485
hushall_bolan,kredit,2020-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2301941
hushall_bolan,kredit,2020-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2307560
hushall_bolan,kredit,2020-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2317635
hushall_bolan,kredit,2020-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2326809
hushall_bolan,kredit,2020-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2335732
hushall_bolan,kredit,2020-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2348655
hushall_bolan,kredit,2020-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2359102
hushall_bolan,kredit,2020-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2366360
hushall_bolan,kredit,2020-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2378204
hushall_bolan,kredit,2020-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2390064
hushall_bolan,kredit,2020-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2400223
hushall_bolan,kredit,2020-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2414543
hushall_bolan,kredit,2021-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2423214
hushall_bolan,kredit,2021-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2431566
hushall_bolan,kredit,2021-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2443060
hushall_bolan,kredit,2021-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2453359
hushall_bolan,kredit,2021-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2466590
