"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","kvinnor","H transport- och magasineringsföretag","totalt",48163,49406,49531,49887,50827,49062,50376,50509,50868,51804
"00 Riket","kvinnor","H transport- och magasineringsföretag","inrikes född",40888,41325,40722,40516,41194,41580,42076,41466,41272,41950
"00 Riket","kvinnor","H transport- och magasineringsföretag","utrikes född",7272,8078,8809,9368,9635,7480,8301,9036,9599,9854
"00 Riket","kvinnor","I hotell och restauranger","totalt",79674,90237,99532,100543,102405,79674,90237,99532,100543,102405
"00 Riket","kvinnor","I hotell och restauranger","inrikes född",54354,61048,65715,65454,65873,54354,61048,65715,65454,65873
"00 Riket","kvinnor","I hotell och restauranger","utrikes född",25319,29193,33817,35087,36534,25319,29193,33817,35087,36534
"00 Riket","kvinnor","J informations- och kommunikationsföretag","totalt",63695,68572,73470,75296,74106,63695,68572,73470,75298,74106
"00 Riket","kvinnor","J informations- och kommunikationsföretag","inrikes född",50815,53919,56701,57656,56462,50815,53919,56701,57652,56464
"00 Riket","kvinnor","J informations- och kommunikationsföretag","utrikes född",12881,14650,16768,17643,17645,12881,14650,16768,17643,17645
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","totalt",49268,50303,52661,54420,55728,49268,50308,52664,54423,55732
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","inrikes född",42999,43370,44992,46446,47571,43004,43374,44997,46450,47573
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","utrikes född",6268,6936,7668,7974,8155,6268,6936,7668,7974,8159
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","totalt",35306,36369,37016,36663,36796,35306,36369,37016,36663,36796
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","inrikes född",30821,31675,31966,31438,31457,30821,31675,31966,31438,31457
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","utrikes född",4486,4693,5049,5222,5338,4486,4693,5049,5222,5338
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","totalt",263084,278391,295887,298114,299126,263115,278466,296001,298243,299266
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","inrikes född",196800,206291,216418,216715,214768,196828,206362,216523,216836,214897
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","utrikes född",66285,72099,79472,81396,84362,66285,72103,79477,81405,84372
"00 Riket","kvinnor","O civila myndigheter och försvaret","totalt",189969,193846,199493,204964,208819,190464,194388,200051,205498,209395
"00 Riket","kvinnor","O civila myndigheter och försvaret","inrikes född",165727,169156,173699,178963,182930,166165,169624,174173,179406,183407
"00 Riket","kvinnor","O civila myndigheter och försvaret","utrikes född",24241,24693,25794,26001,25881,24303,24759,25880,26090,25991
"00 Riket","kvinnor","P utbildningsväsendet","totalt",402253,406843,410288,411228,409104,402263,406847,410304,411253,409151
"00 Riket","kvinnor","P utbildningsväsendet","inrikes född",322283,323018,321973,320973,318667,322290,323024,321984,320990,318689
"00 Riket","kvinnor","P utbildningsväsendet","utrikes född",79969,83823,88317,90255,90437,79974,83826,88319,90264,90458
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","totalt",634833,643187,643309,650568,666797,634842,643193,643314,650576,666800
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","inrikes född",493043,492874,484811,483462,489037,493049,492883,484815,483464,489039
