"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"1860 Laxå","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",39,47,51,51,45,47,43,45,49,48,53
"1860 Laxå","00 okänd verksamhet","män",14,14,14,24,19,15,22,19,12,18,18
"1860 Laxå","00 okänd verksamhet","kvinnor",25,22,23,34,25,23,24,24,22,20,19
"1861 Hallsberg","A jordbruk, skogsbruk och fiske","män",178,177,172,195,200,205,201,191,187,187,184
"1861 Hallsberg","A jordbruk, skogsbruk och fiske","kvinnor",47,42,44,56,52,53,64,56,54,46,45
"1861 Hallsberg","B+C tillverkning och utvinning","män",1488,1141,1189,1148,1047,1046,1026,991,945,960,1030
"1861 Hallsberg","B+C tillverkning och utvinning","kvinnor",436,352,339,330,327,327,324,329,299,303,311
"1861 Hallsberg","D+E energiförsörjning; miljöverksamhet","män",24,28,28,34,46,47,47,52,53,46,52
"1861 Hallsberg","D+E energiförsörjning; miljöverksamhet","kvinnor",2,2,6,6,6,5,5,12,14,7,9
"1861 Hallsberg","F byggverksamhet","män",511,506,489,544,545,538,566,595,613,618,617
"1861 Hallsberg","F byggverksamhet","kvinnor",33,33,29,43,43,35,41,41,41,47,52
"1861 Hallsberg","G handel","män",739,704,725,766,760,749,726,758,787,822,832
"1861 Hallsberg","G handel","kvinnor",410,380,413,443,426,450,429,428,447,499,518
"1861 Hallsberg","H transport och magasinering","män",677,652,609,631,648,752,826,890,877,883,871
"1861 Hallsberg","H transport och magasinering","kvinnor",242,227,230,239,242,328,403,431,400,391,396
"1861 Hallsberg","I hotell- och restaurangverksamhet","män",51,49,45,56,59,54,45,52,45,53,46
"1861 Hallsberg","I hotell- och restaurangverksamhet","kvinnor",59,61,62,60,60,77,52,73,71,63,46
"1861 Hallsberg","J information och kommunikation","män",21,22,19,22,21,17,22,17,14,12,18
"1861 Hallsberg","J information och kommunikation","kvinnor",6,7,5,4,4,4,5,3,3,3,9
"1861 Hallsberg","K finans- och försäkringsverksamhet","män",8,6,5,7,8,7,8,10,7,6,7
"1861 Hallsberg","K finans- och försäkringsverksamhet","kvinnor",24,23,22,20,18,16,14,14,9,12,15
"1861 Hallsberg","L fastighetsverksamhet","män",70,75,88,106,55,52,58,50,57,59,74
"1861 Hallsberg","L fastighetsverksamhet","kvinnor",49,45,45,46,30,28,24,30,40,36,45
"1861 Hallsberg","M+N företagstjänster","män",161,164,167,174,190,169,170,169,177,179,170
"1861 Hallsberg","M+N företagstjänster","kvinnor",183,152,149,140,135,132,107,105,126,135,136
"1861 Hallsberg","O offentlig förvaltning och försvar","män",94,85,95,83,88,113,91,83,75,65,67
"1861 Hallsberg","O offentlig förvaltning och försvar","kvinnor",114,105,118,112,137,143,130,130,144,151,181
"1861 Hallsberg","P utbildning ","män",226,225,216,226,255,262,270,275,291,306,304
"1861 Hallsberg","P utbildning ","kvinnor",577,586,595,603,628,611,632,638,686,728,716
"1861 Hallsberg","Q vård och omsorg; sociala tjänster","män",63,63,65,74,73,77,94,103,109,100,114
"1861 Hallsberg","Q vård och omsorg; sociala tjänster","kvinnor",848,794,790,771,777,796,833,859,808,786,802
"1861 Hallsberg","R+S+T+U kulturella och personliga tjänster m.m.","män",77,76,72,74,68,68,67,77,72,66,68
"1861 Hallsberg","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",107,111,109,109,116,115,111,115,104,108,114
"1861 Hallsberg","00 okänd verksamhet","män",42,31,31,38,48,51,53,48,41,47,62
"1861 Hallsberg","00 okänd verksamhet","kvinnor",54,39,45,54,73,82,60,65,53,70,91
"1862 Degerfors","A jordbruk, skogsbruk och fiske","män",55,54,60,82,77,72,75,76,72,71,83
"1862 Degerfors","A jordbruk, skogsbruk och fiske","kvinnor",11,11,12,19,20,21,18,20,15,13,19
"1862 Degerfors","B+C tillverkning och utvinning","män",972,860,860,849,830,790,851,788,764,746,731
"1862 Degerfors","B+C tillverkning och utvinning","kvinnor",193,161,168,154,142,131,151,144,145,144,141
"1862 Degerfors","D+E energiförsörjning; miljöverksamhet","män",19,23,19,17,18,15,16,15,17,20,17
"1862 Degerfors","D+E energiförsörjning; miljöverksamhet","kvinnor",1,1,1,2,2,3,2,3,5,5,5
"1862 Degerfors","F byggverksamhet","män",214,201,197,204,167,155,150,153,155,150,140
"1862 Degerfors","F byggverksamhet","kvinnor",18,12,14,16,8,9,7,8,8,8,8
"1862 Degerfors","G handel","män",95,95,101,100,109,104,110,101,106,101,97
"1862 Degerfors","G handel","kvinnor",134,127,119,126,130,125,127,114,111,109,106
"1862 Degerfors","H transport och magasinering","män",60,53,52,47,51,50,60,48,45,61,96
"1862 Degerfors","H transport och magasinering","kvinnor",13,13,13,14,11,9,15,8,7,10,26
"1862 Degerfors","I hotell- och restaurangverksamhet","män",22,16,21,22,21,19,23,30,27,27,26
"1862 Degerfors","I hotell- och restaurangverksamhet","kvinnor",60,54,50,48,58,52,49,47,46,47,41
"1862 Degerfors","J information och kommunikation","män",21,23,19,13,12,12,10,9,8,11,7
"1862 Degerfors","J information och kommunikation","kvinnor",12,13,12,12,11,12,6,4,2,2,5
"1862 Degerfors","K finans- och försäkringsverksamhet","män",3,1,3,1,1,3,4,1,1,1,2
