"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","inrikes född",199380,201850,212486,215909,215606,199436,201898,212590,216039,215738
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","utrikes född",65740,69093,76546,80749,82436,65741,69096,76554,80759,82445
"00 Riket","kvinnor","O civila myndigheter och försvaret","totalt",189258,194244,198901,204508,209485,189753,194764,199450,205059,210040
"00 Riket","kvinnor","O civila myndigheter och försvaret","inrikes född",165194,169287,173274,178317,183329,165644,169741,173744,178780,183783
"00 Riket","kvinnor","O civila myndigheter och försvaret","utrikes född",24061,24957,25626,26190,26157,24109,25022,25705,26279,26257
"00 Riket","kvinnor","P utbildningsväsendet","totalt",399310,402181,406348,409487,410504,399321,402186,406357,409503,410538
"00 Riket","kvinnor","P utbildningsväsendet","inrikes född",321249,320724,320310,320051,319815,321256,320729,320318,320062,319834
"00 Riket","kvinnor","P utbildningsväsendet","utrikes född",78062,81456,86036,89436,90688,78065,81457,86039,89441,90703
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","totalt",644603,650059,651543,655336,674069,644608,650065,651549,655341,674073
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","inrikes född",502436,500992,493493,488962,495856,502441,500997,493500,488967,495860
"00 Riket","kvinnor","Q enheter för vård och omsorg, socialtjänst","utrikes född",142168,149067,158050,166373,178213,142169,149067,158050,166374,178213
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","totalt",128494,128783,135894,137440,138595,128549,128833,135949,137497,138638
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","inrikes född",106563,106353,111843,112716,113592,106613,106394,111888,112766,113631
"00 Riket","kvinnor","R+S+T+U enheter för kultur, nöje och fritid; andra serviceföretag m.m.","utrikes född",21930,22430,24053,24724,25003,21936,22439,24061,24731,25007
"00 Riket","kvinnor","US uppgift saknas","totalt",36256,36622,36249,35260,7015,43296,42959,43445,43126,16865
"00 Riket","kvinnor","US uppgift saknas","inrikes född",26302,25966,26353,25607,5389,29628,28701,29666,29188,9986
"00 Riket","kvinnor","US uppgift saknas","utrikes född",9953,10655,9895,9654,1626,13668,14260,13781,13938,6878
"00 Riket","totalt","A-U+US Total","totalt",5026202,5086519,5247980,5310985,5292939,5055268,5112379,5277092,5341934,5328897
"00 Riket","totalt","A-U+US Total","inrikes född",4025228,4040379,4116052,4127962,4101927,4042522,4055071,4133098,4145820,4122306
"00 Riket","totalt","A-U+US Total","utrikes född",1000974,1046140,1131930,1183022,1191012,1012744,1057307,1143994,1196114,1206592
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","totalt",96618,95054,93662,91823,92298,96619,95055,93663,91823,92298
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","inrikes född",90132,88482,86997,85117,85335,90133,88483,86999,85117,85335
"00 Riket","totalt","A företag inom jordbruk, skogsbruk och fiske","utrikes född",6485,6573,6665,6706,6963,6485,6573,6665,6706,6963
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",545304,550247,562884,566153,566530,545343,550281,562924,566191,566568
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",452661,453143,457377,454920,451727,452690,453172,457406,454950,451755
"00 Riket","totalt","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",92644,97104,105507,111233,114804,92653,97110,105517,111242,114813
"00 Riket","totalt","D+E företag inom energi och miljö","totalt",53831,55204,56830,58430,61035,53831,55204,56830,58430,61037
"00 Riket","totalt","D+E företag inom energi och miljö","inrikes född",48478,49521,50629,51762,53921,48478,49521,50629,51762,53924
"00 Riket","totalt","D+E företag inom energi och miljö","utrikes född",5353,5684,6201,6668,7113,5353,5684,6201,6669,7113
"00 Riket","totalt","F byggindustri","totalt",361744,367317,379018,383627,371303,361745,367340,379048,383675,371345
"00 Riket","totalt","F byggindustri","inrikes född",305021,306845,312173,313149,305314,305023,306867,312203,313195,305354
"00 Riket","totalt","F byggindustri","utrikes född",56723,60473,66845,70477,65989,56723,60473,66845,70479,65990
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",595496,601482,617117,619579,617828,595497,601483,617117,619579,617830
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",499442,501223,510057,508663,506036,499443,501224,510057,508663,506037
"00 Riket","totalt","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",96053,100259,107059,110915,111793,96054,100259,107059,110915,111793
"00 Riket","totalt","H transport- och magasineringsföretag","totalt",229035,228800,232850,232041,231717,233281,232524,236958,235984,235661
"00 Riket","totalt","H transport- och magasineringsföretag","inrikes född",168754,165656,164484,160318,159160,172265,168758,167853,163560,162416
"00 Riket","totalt","H transport- och magasineringsföretag","utrikes född",60282,63144,68363,71723,72557,61016,63766,69105,72424,73244
"00 Riket","totalt","I hotell och restauranger","totalt",166331,161959,194592,202687,203372,166331,161959,194592,202687,203372
"00 Riket","totalt","I hotell och restauranger","inrikes född",94870,92407,112266,115341,116341,94870,92407,112266,115341,116341
"00 Riket","totalt","I hotell och restauranger","utrikes född",71460,69551,82326,87345,87030,71460,69551,82326,87345,87030
