"region","näringsgren SNI 2007","kön","Antal 2019","Antal 2020","Antal 2021"
"1884 Nora","H transport och magasinering","män",86,81,85
"1884 Nora","H transport och magasinering","kvinnor",15,15,14
"1884 Nora","I hotell- och restaurangverksamhet","män",42,45,39
"1884 Nora","I hotell- och restaurangverksamhet","kvinnor",50,53,57
"1884 Nora","J information och kommunikation","män",16,15,17
"1884 Nora","J information och kommunikation","kvinnor",4,5,5
"1884 Nora","K finans- och försäkringsverksamhet","män",6,6,6
"1884 Nora","K finans- och försäkringsverksamhet","kvinnor",6,5,5
"1884 Nora","L fastighetsverksamhet","män",40,35,36
"1884 Nora","L fastighetsverksamhet","kvinnor",23,20,24
"1884 Nora","M+N företagstjänster","män",129,120,122
"1884 Nora","M+N företagstjänster","kvinnor",74,81,77
"1884 Nora","O offentlig förvaltning och försvar","män",54,63,60
"1884 Nora","O offentlig förvaltning och försvar","kvinnor",120,117,116
"1884 Nora","P utbildning ","män",95,95,100
"1884 Nora","P utbildning ","kvinnor",337,346,345
"1884 Nora","Q vård och omsorg; sociala tjänster","män",185,176,179
"1884 Nora","Q vård och omsorg; sociala tjänster","kvinnor",717,699,712
