"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"04 Södermanlands län","G handel","män",6836,6486,6738,6976,6940,6839,6805,6783,6905,7004,7073
"04 Södermanlands län","G handel","kvinnor",5716,5562,5721,5721,5709,5688,5661,5466,5518,5570,5661
"04 Södermanlands län","H transport och magasinering","män",3814,3576,3578,3695,3674,3758,3680,3684,3726,3717,3836
"04 Södermanlands län","H transport och magasinering","kvinnor",1060,982,941,950,935,929,863,846,818,804,844
"04 Södermanlands län","I hotell- och restaurangverksamhet","män",1173,1175,1289,1343,1423,1472,1549,1657,1647,1726,1777
"04 Södermanlands län","I hotell- och restaurangverksamhet","kvinnor",1740,1684,1688,1757,1830,1879,1919,1998,2010,1972,1981
"04 Södermanlands län","J information och kommunikation","män",1165,1110,1084,1084,1114,1112,1048,999,984,1109,1106
"04 Södermanlands län","J information och kommunikation","kvinnor",564,530,518,522,513,501,470,459,507,584,534
"04 Södermanlands län","K finans- och försäkringsverksamhet","män",457,440,434,442,445,451,439,428,407,392,407
"04 Södermanlands län","K finans- och försäkringsverksamhet","kvinnor",781,760,747,744,720,716,695,680,639,628,656
"04 Södermanlands län","L fastighetsverksamhet","män",1156,1212,1227,1219,1240,1251,1270,1298,1352,1294,1327
"04 Södermanlands län","L fastighetsverksamhet","kvinnor",839,858,894,893,924,954,971,1019,997,1018,1083
"04 Södermanlands län","M+N företagstjänster","män",4537,4478,4954,5503,5614,5815,5809,5907,6008,6350,6549
"04 Södermanlands län","M+N företagstjänster","kvinnor",3525,3545,4081,4412,4557,4477,4269,4360,4438,4546,4552
"04 Södermanlands län","O offentlig förvaltning och försvar","män",2410,2448,2459,2459,2458,2533,2543,2528,2534,2616,2740
"04 Södermanlands län","O offentlig förvaltning och försvar","kvinnor",3242,3146,3150,3276,3334,3491,3583,3611,3751,3979,4177
"04 Södermanlands län","P utbildning ","män",2833,2769,2880,2953,3067,3197,3129,3200,3456,3614,3592
"04 Södermanlands län","P utbildning ","kvinnor",9247,9046,9316,9341,9529,9871,10009,10135,10616,11181,11294
"04 Södermanlands län","Q vård och omsorg; sociala tjänster","män",3503,3598,3503,3575,3617,3893,4080,4374,4668,4744,4807
"04 Södermanlands län","Q vård och omsorg; sociala tjänster","kvinnor",17006,16687,16971,17201,17409,17833,18205,18652,18908,18907,18773
"04 Södermanlands län","R+S+T+U kulturella och personliga tjänster m.m.","män",1758,1738,1715,1776,1833,1933,1937,1933,2009,1982,2018
"04 Södermanlands län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",2739,2717,2695,2819,2919,3007,3018,3009,3046,2997,3006
"04 Södermanlands län","00 okänd verksamhet","män",739,727,721,678,672,666,693,753,750,816,673
"04 Södermanlands län","00 okänd verksamhet","kvinnor",1520,1460,1344,1142,1042,1030,995,1110,1177,1196,942
"05 Östergötlands län","A jordbruk, skogsbruk och fiske","män",3475,3587,3697,4190,4111,4121,4080,3981,3859,3795,3691
"05 Östergötlands län","A jordbruk, skogsbruk och fiske","kvinnor",714,748,821,1033,1068,1105,1119,1076,1062,1071,1047
"05 Östergötlands län","B+C tillverkning och utvinning","män",26975,24673,24441,24677,24214,23984,23388,23398,22995,23161,23557
"05 Östergötlands län","B+C tillverkning och utvinning","kvinnor",7323,6655,6529,6475,6486,6401,6161,6162,5966,6048,6230
"05 Östergötlands län","D+E energiförsörjning; miljöverksamhet","män",1359,1351,1388,1395,1383,1426,1494,1472,1529,1546,1623
"05 Östergötlands län","D+E energiförsörjning; miljöverksamhet","kvinnor",388,402,398,393,401,397,434,424,468,482,558
"05 Östergötlands län","F byggverksamhet","män",11471,11476,11903,12248,12292,12478,12812,13268,13860,14202,14292
"05 Östergötlands län","F byggverksamhet","kvinnor",850,838,967,962,1019,989,979,1049,1141,1185,1214
"05 Östergötlands län","G handel","män",11823,11632,11938,12037,12082,12349,12319,12427,12239,12508,12751
"05 Östergötlands län","G handel","kvinnor",9490,9186,9575,9411,9567,9658,9537,9468,9486,9428,9452
"05 Östergötlands län","H transport och magasinering","män",6745,6507,6498,6687,7033,6865,6723,6802,6823,7023,7215
"05 Östergötlands län","H transport och magasinering","kvinnor",1820,1722,1735,1805,1907,1817,1874,1815,1817,1885,1979
"05 Östergötlands län","I hotell- och restaurangverksamhet","män",2069,2076,2183,2323,2450,2599,2682,2782,2892,3012,3052
"05 Östergötlands län","I hotell- och restaurangverksamhet","kvinnor",2731,2769,2928,2978,3188,3354,3320,3408,3548,3476,3332
"05 Östergötlands län","J information och kommunikation","män",4301,4359,4289,4402,4637,4867,4993,4973,5851,6014,6291
"05 Östergötlands län","J information och kommunikation","kvinnor",1621,1604,1554,1580,1629,1707,1746,1677,1907,1943,2008
"05 Östergötlands län","K finans- och försäkringsverksamhet","män",1041,1063,1069,1042,966,977,967,1029,974,966,909
"05 Östergötlands län","K finans- och försäkringsverksamhet","kvinnor",1311,1278,1323,1282,1260,1253,1228,1292,1241,1242,1216
"05 Östergötlands län","L fastighetsverksamhet","män",1885,1928,1891,1988,2033,2073,2054,2130,2190,2256,2322
"05 Östergötlands län","L fastighetsverksamhet","kvinnor",984,1009,1058,1092,1184,1213,1231,1295,1335,1341,1330
"05 Östergötlands län","M+N företagstjänster","män",10939,10480,11124,11999,12346,12349,12725,12933,13763,14080,14913
"05 Östergötlands län","M+N företagstjänster","kvinnor",8314,7926,8332,8655,8899,8804,9079,9436,9959,9695,10249
"05 Östergötlands län","O offentlig förvaltning och försvar","män",4644,4536,4670,4704,4544,4665,4767,5185,5189,5689,5824
"05 Östergötlands län","O offentlig förvaltning och försvar","kvinnor",5559,5715,5651,5735,5720,5826,6006,6592,6965,7584,7833
"05 Östergötlands län","P utbildning ","män",5617,5656,5819,5903,6027,6141,6233,6272,6415,6540,6310
"05 Östergötlands län","P utbildning ","kvinnor",15347,15322,15669,15882,16080,16356,16626,17222,17835,18525,18572
"05 Östergötlands län","Q vård och omsorg; sociala tjänster","män",5120,5185,5352,5456,5636,5935,6253,6470,7067,7137,7204
"05 Östergötlands län","Q vård och omsorg; sociala tjänster","kvinnor",26928,26355,27004,27181,27806,28511,28929,29492,30277,30136,30116
"05 Östergötlands län","R+S+T+U kulturella och personliga tjänster m.m.","män",3186,3211,3321,3416,3413,3650,3620,3604,3688,3639,3611
"05 Östergötlands län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",4377,4333,4509,4714,4774,4938,4939,5004,5023,4977,5043
"05 Östergötlands län","00 okänd verksamhet","män",903,819,783,832,734,773,849,769,721,902,835
"05 Östergötlands län","00 okänd verksamhet","kvinnor",870,826,919,1111,1008,939,1014,981,982,1320,1199
"06 Jönköpings län","A jordbruk, skogsbruk och fiske","män",2977,3035,3196,3986,3911,3919,3913,3860,3723,3748,3760
"06 Jönköpings län","A jordbruk, skogsbruk och fiske","kvinnor",680,696,738,1203,1220,1202,1196,1206,1111,1184,1073
"06 Jönköpings län","B+C tillverkning och utvinning","män",32686,28716,29455,29914,29312,28456,28475,28873,29388,29900,30223
"06 Jönköpings län","B+C tillverkning och utvinning","kvinnor",12338,10368,10618,10791,10752,10425,10305,10289,10377,10616,10646
"06 Jönköpings län","D+E energiförsörjning; miljöverksamhet","män",1056,1101,1108,1097,1098,1169,1174,1184,1139,1407,1330
"06 Jönköpings län","D+E energiförsörjning; miljöverksamhet","kvinnor",225,221,231,234,255,268,278,279,277,343,321
"06 Jönköpings län","F byggverksamhet","män",8684,8659,8899,9264,9248,9154,9086,9305,9678,9804,10043
"06 Jönköpings län","F byggverksamhet","kvinnor",679,680,691,726,759,722,731,754,750,756,813
"06 Jönköpings län","G handel","män",11519,11091,11544,11738,11778,11774,11993,11871,11867,11884,12111
"06 Jönköpings län","G handel","kvinnor",8624,8310,8614,8630,8691,8641,8690,8532,8679,8755,8811
"06 Jönköpings län","H transport och magasinering","män",7196,6967,7061,7317,7135,7219,7186,7410,7377,7718,8012
"06 Jönköpings län","H transport och magasinering","kvinnor",2325,2128,2166,2190,2051,1964,1850,1990,1981,2186,2391
"06 Jönköpings län","I hotell- och restaurangverksamhet","män",1415,1464,1553,1609,1743,1736,1847,1972,1982,2061,2135
"06 Jönköpings län","I hotell- och restaurangverksamhet","kvinnor",2134,2129,2258,2230,2320,2451,2500,2598,2596,2598,2501
"06 Jönköpings län","J information och kommunikation","män",1916,1944,1916,1965,1989,1995,1978,1968,2094,2198,2208
"06 Jönköpings län","J information och kommunikation","kvinnor",786,766,765,728,724,700,663,662,693,747,701
"06 Jönköpings län","K finans- och försäkringsverksamhet","män",646,605,579,582,620,593,603,576,542,542,483
"06 Jönköpings län","K finans- och försäkringsverksamhet","kvinnor",718,669,670,665,638,626,622,607,587,575,530
"06 Jönköpings län","L fastighetsverksamhet","män",1556,1351,1350,1350,1370,1569,1458,1454,1540,1523,1538
"06 Jönköpings län","L fastighetsverksamhet","kvinnor",702,663,634,636,628,725,678,654,767,810,820
"06 Jönköpings län","M+N företagstjänster","män",5766,5364,6296,6776,6858,7118,7452,7861,8478,8764,8975
"06 Jönköpings län","M+N företagstjänster","kvinnor",4845,4554,4850,4920,5149,5329,5474,5796,5962,6115,6289
"06 Jönköpings län","O offentlig förvaltning och försvar","män",3407,3425,3371,3493,3470,3712,3653,3667,3780,3832,4094
"06 Jönköpings län","O offentlig förvaltning och försvar","kvinnor",3984,4007,4137,4133,4244,4376,4554,4660,4837,5012,5361
"06 Jönköpings län","P utbildning ","män",3409,3383,3598,3571,3539,3525,3610,3720,4114,4215,4300
"06 Jönköpings län","P utbildning ","kvinnor",12158,11927,12315,12595,12498,12661,12650,13211,13943,14296,14541
"06 Jönköpings län","Q vård och omsorg; sociala tjänster","män",4088,4135,4215,4343,4557,4649,4964,5158,5580,5723,5588
"06 Jönköpings län","Q vård och omsorg; sociala tjänster","kvinnor",24533,24244,24764,24430,24722,24941,25103,25300,25938,25718,25330
"06 Jönköpings län","R+S+T+U kulturella och personliga tjänster m.m.","män",2333,2346,2272,2318,2465,2514,2416,2462,2513,2500,2504
